Ime,Vrsta,Prva upodobitev,Leto prve upodobitve,Kratek opis
Abafar,planet,Star Wars: The Clone Wars,2012,"Puščavski planet, ki se nahaja v zunanjem robu s popolnoma belo površino.Planet, znan kot Praznina, je komaj poseljen, vendar je dom ogromnim količinam ridonija, redkega in hlapljivega goriva."
Agamar,planet,Star Wars Legends:The Farlander Papers,1993,"Pust, skalnat planet v zunanjem robu.Mesto še vedno aktivnega rezervata separatističnih droidov, ki so postali znani po tem, da so preživeli vojne klonov."
Ahch-To,planet,The Force Awakens,2015,"Velik oceanski planet, na katerem se že več let skriva Luke Skywalker, in lokacija prvega jedijevskega templja in drevesne knjižnice svetih jedijskih besedil. Porgi, lanai in thala-sirene so med domorodnimi vrstami."
Ajan Kloss,luna,Star Wars Battlefront II,2017,"Luna v džungli, ki služi kot nova baza za operacije Odpora.Pred leti sta tam trenirala Leia in Luke.Leia Organa umre tukaj, potem ko je porabila še zadnje moči, da bi prišla do svojega sina prek sile."
Akiva,planet,Star Wars: Aftermath,2015,Planet džungle in dom Norra in Temmin Wexley ter primarno dogajanje v Aftermathu.
Alderaan,planet,A New Hope,1977,"Gozdovi, gore;domači planet princese Leie in hiše Organa.Uničeno s prvo smrtno kaznijo Staras zaradi vpletenosti v zavezništvo upornikov in tudi kot dokaz moči."
Aldhani,planet,Andor,2022,"Planet z zmernim alpskim podnebjem z visokogorjem, dolinami, gozdovi in jezeri, ki so bili sveti domorodnemu ljudstvu Dhani, dokler jih ni preselil Imperij, ki je vzpostavil oporišče znotraj jezu, v katerem je bil trezor, ki je financiral svojo vojsko."
Aleen,luna,Star Wars: The Clone Wars,2011,"Podzemni svet, ki se nahaja v Srednjem robu.Domače vrste vključujejo bitja, ki živijo na površini, imenovana Aleena, in čuteča bitja, podobna drevesom, imenovana Kindalo."
Alzoc III,planet,Star Wars Legends:Jedi Knight II: Jedi Outcast,2003,"Ledeni planet, s številnimi ledeniki, na njegovem površju pa leži strmoglavljena separatistična ladja z antigravitacijsko napravo."
Anaxes,planet,Star Wars Legends:Star Wars: Empire at War,2006,"Skalnat planet, ki se nahaja v Azurnem sektorju regije Core Worlds galaksije.Večji del njegove površine je bil pokrit z visokim, rdečim rastlinskim svetom.V zgodnjih letih cesarske dobe je bil planet uničen v kataklizmi, ostanki pa so postali asteroidni pas Anaxes."
Ando,planet,Star Wars Legends:Dark Force Rising,1992,"Planet, pokrit z vodo, ki se nahaja v zunanjem robu, je dom amfibijske vrste Aqualish in preživlja velike pretrese med separatistično krizo."
Anoat,planet,The Empire Strikes Back,1980,"Onesnaženo;Skoraj negostoljuben planet, ki ga uporablja Imperij."
Atollon,planet,Star Wars Rebels,2016,"Puščavski planet, mesto baze upornikov Phoenix Squadron.Dom pajkom podobnih šesteronožcev, znanih kot Krykna, in močnega orožja Benduja.Bitko pri Atollonu je dovolil sam veliki admiral Thrawn in je uničil večino baze, zaradi česar je morala eskadrilja Phoenix oditi."
Barton 4,planet,The Bad Batch,2023,"Ledeni planet, kjer je Galaktični imperij vzdrževal skladišče zalog.Klonski vojak CT-9904 ""Crosshair"" je bil poslan v postojanko na planetu."
Balnab,luna,Star Wars: The Clone Wars,2008,"Barbarski svet, ki sta ga nekoč obiskala R2-D2 in C-3PO."
Batuu,planet,Thrawn: Alliances,2018,Planet z oddaljeno obmejno postojanko in starim trgovskim pristaniščem.
Bespin,planet,The Empire Strikes Back,1980,"Planet Agas s tanko plastjo bivalne atmosfere, kjer se nahaja Cloud City.Plasti plina na planetu so bile vir redkega plina tibanna, ki so ga pridobivali in rafinirali v rudarskih kompleksih, kot je Cloud City."
Bogano,planet,Star Wars Jedi: Fallen Order,2019,"Večinoma nenaseljen travnat planet v Zunanjem robu, kjer se nahaja trezor Zeffo."
Bracca,planet,Star Wars Jedi: Fallen Order,2019,"Negostoljuben odpadni planet v Srednjem robu, ki velja za strateško pomembnega v Vojnah klonov.Postane koristen za Scrapper Guild, katerega člani rešujejo odslužene ladje za imperij."
Cantonica,planet,The Last Jedi,2017,"Suh planet, kjer se nahaja letoviško mesto Canto Bight, dom igralnice Canto Casino in Racetracka."
Castilon,planet,Star Wars Resistance,2018,"Oceanski planet, ki se nahaja v Zunanjem robu blizu Divjega vesolja.Domača postaja za oskrbo z gorivom za letala Colossus, pa tudi cilj dirkačev."
Cato Neimoidia,luna,Star Wars Legends:Darth Maul: Saboteur,2001,"Svet kolonije neimodijske vrste.Prizorišče bitk med Vojnami klonov, znano po svojih ""mostnih mestih"".Tudi mesto Plo Koonove smrti med Veliko Jedijsko čistko."
Chandrila,planet,Star Wars Legends:The Truce at Bakura,1994,"Domači svet Mona Mothma in Bena Sola, služi kot prva prestolnica Nove republike.Spokojen planet, znan po mirnem morju in hribih."
Christophsis,luna,Star Wars: The Clone Wars,2008,"Med Vojnami klonov se tukaj odvija bitka pri Christophsisu, ki služi kot uvod v Ahsoko Tano."
Concord Dawn,planet,Star Wars Legends:The Last One Standing: The Tale of Boba Fett,1996,"Domači planet Janga Fetta.Naseljiv planet, ki je obkrožen z veliko količino ruševin iz številnih hudih vojn.Prej pod nadzorom Mandalorijcev."
Corellia,planet,A New Hope,1977,Industrijski planet v jedru galaksije z močno kulturo usposabljanja pilotov.Domači svet Hana Soloa in Qi're.
Coruscant,planet,Star Wars Legends:Heir to the Empire,1991,"Svetovljanski urbani svet, sestavljen iz enega planetarnega mesta.Coruscant se nahaja v osrčju galaksije Vojna zvezd z več kot bilijonom prebivalcev in je vladno središče Galaktične republike in kasneje Galaktičnega imperija.Dom glavnega Jedijevega templja.[34]"
Crait,planet,"Leia, Princess of Alderaan",2017,"Majhen mineralni planet, ki se nahaja v oddaljenem delu galaksije, njegova površina je prekrita s plastjo bele soli nad rdečo prstjo.In Leia, Princesa Alderaanit je lokacija zgodnje postojanke Uporniškega zavezništva.Leia in njene preostale odporniške sile pobegnejo tja v The Last Jedi, kjer se soočijo s Prvim redom."
Daiyu,planet,Obi-Wan Kenobi,2022,"Planet mestne pokrajine, kjer Ben Kenobi začne iskanje Leie Organa."
D'Qar,luna,The Force Awakens,2015,"Mesto odporniške operativne baze, ki jo vodi general Leia Organa."
Dagobah,planet,The Empire Strikes Back,1980,Močvirni planet in Yodina rezidenca po padcu Jedijev.
Dantooine,planet,A New Hope,1977,"Podeželski planet in nekdanje mesto baze upornikov.Pisci Rogue One so menili, da bi prikazali upornike, ki evakuirajo bazo za Yavin 4, vendar ""to ni premaknilo zgodbe naprej in bi stalo ogromno denarja."""
Dathomir,luna,Star Wars Legends:The Courtship of Princess Leia,1994,"Sithov svet in domači svet Nightsisters, vključno z Asajj Ventress, občutljivo na silo.Tudi domači svet bojevnikov Zabrak, vključno z Darthom Maulom.Odročen svet, ki se nenehno kopa v krvavo rdeči sončni svetlobi in dom številnim nevarnim plenilcem."
Devaron,planet,Star Wars Legends:Tales from the Mos Eisley Cantina,1995,Gozdni planet s starodavnim templjem Jedijev.Dom rogate devaronske vrste.
Eadu,planet,Rogue One,2016,"Skalnat, gorat planet, ki ga obdajajo nenehne močne nevihte.Dom cesarskega raziskovalnega obrata za orožje.Njegov videz je delno navdihnil fiktivni planet LV-426 iz franšize Alien."
Endor,planet,Return of the Jedi,1983,"Modri plinski velikan s kompleksnim planetarnim sistemom, vključno z lunami, kot sta Sanctuary in Kef Bir, je bil pod nadzorom Imperija, dokler ni bila uničena druga Zvezda smrti."
Endor(Sanctuary),luna,Return of the Jedi,1983,"Gozdna luna, ki je druga orbita zvezde smrti, in hiša do imperialne postojanke.Naseljen z Ewoki.Lokacija bitke med zavezništvom upornikov in imperijem, ki je vodila do uničenja druge Zvezde smrti."
Er´kit,planet,Star Wars Commander,2014,"Puščavski planet, ki se nahaja na ozemljih zunanjega obroča galaksije.Domači svet vrste Er'Kit."
Eriadu,planet,Star Wars Legends:Darth Maul: Saboteur,2001,"Planet, ki se nahaja v zunanjem robu galaksije.Domači svet Grand Moffa Tarkina in njegove družine."
Esseles,luna,Star Wars Legends:Episode I Adventures,1999,"Pod imperialnim nadzorom.Imperij ima prisluškovalno postajo, skrito v ledenem obroču Esseles."
Exegol,planet,The Rise of Skywalker,2019,"Nevihtni planet v ""neznanih regijah"" galaksije, katerega lokacija je namerno zakrita s prizadevanji Republike in Jedijev.Starodavni bastion Sithov služi kot brlog Dartha Sidiousa in Sith Eternal med gradnjo armade Sithov, znane kot Končni red."
Felucia,planet,Revenge of the Sith,2005,"Planet v džungli, poln rastlin, vendar malo živalskega sveta. Aayla Securais je bila tukaj umorjena med veliko Jedijsko čistko."
Ferrix,planet,Andor,2022,Puščavski planet z obsežno industrijo odpadkov in znan po svojih trgih reševanja.
Florrum,planet,Star Wars: The Clone Wars,2009,Žveplov puščavski planet.Hondo Ohnaka je vodja piratske tolpe na planetu.
Fondor,luna,Star Wars Legends:Darth Vader Strikes,1981,Cesarski proizvodni center z velikimi ladjedelnicami.
Geonosis,planet,Attack of the Clones,2002,"Skalnat puščavski planet, kjer izdelujejo bojne droide, in mesto uvodne bitke Vojne klonov.Domneva se, da je Imperij v Star Wars Rebels uničil vse življenje na planetu, z dvema izjemama: Klik-Klakom in njegovim potomcem.Primarno gradbišče prve Zvezde smrti.Domači svet Geonosijcev."
Hosnian Prime,planet,The Force Awakens,2015,Urbani planet in prestolnica Nove republike.Uničilo oporišče Starkiller prvega reda.
Hoth,planet,The Empire Strikes Back,1980,Pust ledeni planet in baza za zavezništvo upornikov.
Iego,planet,The Phantom Menace,1999,"Planet zunanjega obroča, na katerem živijo leteča bitja, imenovana Xandu, in medicinsko pomembne rastline, imenovane Reeska.Iego je obkrožen s 1000 lunami in vsaj ena od teh, imenovana Millius Prime, je dom rase, imenovane Angeli."
Ilum,planet,Star Wars Legends:Jedi Quest: Path to Truth,2001,"Oddaljen ledeni planet, kjer kopljejo kyber kristale.Prvi red ga je spremenil v Starkiller Base in uničil v The Force Awakens."
Iridonia,luna,Star Wars Legends:Star Wars Episode I Journal: Darth Maul,2000,Dom iridonskega ljudstva Zabrak in nekoč govorice o rojstnem kraju Dartha Maula.
Jabiim,planet,Star Wars Legends:Star Wars: Republic,2003,"Mesto puščavskega planeta Poti, kjer Ben Kenobi pomaga ljudem pobegniti iz imperija."
Jakku,planet,The Force Awakens,2015,"Puščavski planet.Mesto ""pokopališča"" ladij, poškodovanih med bitko pri Jakkuju, zadnji bitki med Novo republiko in Galaktičnim cesarstvom.Tudi domovina Reya."
Jedha,luna,Rogue One,2016,"Hladna puščavska luna in sveto mesto za vernike v Silo.Vir kristalov kyber, ki se uporablja za svetlobne meče in glavno orožje Zvezde smrti.To je tudi prva lokacija, na kateri se testira uničujoča sposobnost Zvezde smrti. Direktor Rogue One, Gareth Edwards, je lokacijo opisal kot ""Meka ali Jeruzalem znotraj sveta Vojne zvezd"".Je tudi homonim za Džedo, glavna vrata v Meko."
Jelucan,planet,Star Wars: Lost Stars,2015,"Skalnat, gorat planet v Zunanjem robu in domovina Thana Kyrella in Ciene Ree."
Jestefad,planet,Revenge of the Sith,2005,"Velik plinasti planet, ki je del sistema Mustafar.Neposredno odgovoren za vulkansko podnebje Mustafarja zaradi intenzivnega gravitacijskega vlečenja vrvi z bližnjim plinastim velikanom Lefranijem."
Kamino,planet,Attack of the Clones,2002,"Oceanski planet, ki se nahaja izven glavne galaksije, kjer se razvija tehnologija kloniranja in ustvarja in usposablja Vojska klonov. Obi-Wan Kenobi odkrije, da planet manjka v Jedijevih arhivih;pozneje se razkrije, da je bil izbrisan kot del zarote Sithov, da bi začeli Vojno klonov in prevzeli galaksijo."
Kashyyyk,planet,Star Wars Holiday Special,1978,Gozdni planet in dom Wookiejev.Tudi mesto ene od zadnjih bitk Vojne klonov.
Kef Bir,luna,The Rise of Skywalker,2019,"Luna Endor in lokacija nekaterih razbitin druge Zvezde smrti, potem ko je bila uničena v Jedijevi vrnitvi."
Kessel,planet,Star Wars,1977,"Rudarski planet, za katerega so se bojevali kriminalni gospodarji zaradi njegove dragocene začimbe.Odprtina pod začimbnimi rudniki je služila kot vir astatičnega koaksija, elementa, ki bi ga lahko rafinirali v hipergorivo za zvezdne ladje."
Kijimi,planet,The Rise of Skywalker,2019,"Hladen gorat planet.To je bil domači svet Zorii Bliss, vodje tihotapske tolpe, znane kot Spice Runners of Kijimi.Kasneje ga uniči zvezdni uničevalec razreda Xyston Derriphano iz flote Sith Eternal, Final Order, kot dokaz moči za preostanek galaksije."
Koboh,planet,Star Wars Jedi: Survivor,2023,"Robusten planet, znan po obilici mineralov.Lokacija postojanke Rambler's Reach."
Kuat,planet,Star Wars Legends:Wedge's Gamble,1996,"Industrijski planet, dom podjetja Kuat Drive Yards, proizvajalca uničevalcev zvezd."
Lah'mu,planet,Catalyst: A Rogue One Novel,2016,"Odročni planet s črnim peskom, kjer se Jyn Erso in njeni starši skrivajo."
Lothal,planet,Star Wars Rebels,2014,Oddaljeni kmetijski planet in rojstni kraj Ezre Bridgerja.
Lotho Minor,planet,Star Wars: The Clone Wars,2011,Planetarno smetišče in skrivališče Dartha Maula po njegovi domnevni smrti.
Malachor,luna,Star Wars Legends:Star Wars Knights of the Old Republic II: The Sith Lords,2004,"Opustošen svet Sithov in prizorišče dveh velikih bitk v razmiku tisoče let: ena je vključevala Bič Malachorja, druga med Darthom Maulom, več uporniki, Darthom Vaderjem in več inkvizitorji."
Malastare,planet,The Phantom Menace,1999,"Gozdnati planet, kjer je priljubljen podracing.Rojstni kraj Sebulba in domači svet Duga."
Mandalore,planet,Star Wars Legends:Marvel Star Wars,1982,"Planet zunanjega obroča, ki je domači svet Mandalorijcev, ki so ga raztrgale vojne med Mandalorijci in Jedi in ga je Imperij sčasoma očistil, tako da je nekaj Mandalorijcev razkropil po vsej galaksiji (vključno z Bo-Katanom).Mandalore ima eno luno, Concordio, ki je popolnoma naseljena."
